palm_direction,thumb_direction_x,thumb_direction_y,thumb_direction_z,index_direction_x,index_direction_y,index_direction_z,middle_direction_x,middle_direction_y,middle_direction_z,ring_direction_x,ring_direction_y,ring_direction_z,pinky_direction_x,pinky_direction_y,pinky_direction_z,thumb_indexpipdistance,thumb_middlepipdistance,thumb_ringpipdistance,thumb_pinkypipdistance,label
1,-0.331172,0.153733,-0.930963,0.121851,0.19282,0.973639,-0.035159,0.160689,0.986379,-0.200548,0.133587,0.970533,-0.24679,-0.509314,0.824435,73.96495137590506,79.69962317475385,83.65547153426367,95.25519132068341,a
1,-0.424641,0.151717,-0.892559,0.307546,0.166242,0.936899,0.156498,0.132864,0.978701,0.00643923,0.0815569,0.996648,-0.064262,-0.540321,0.839002,73.4982422081644,79.16943669838759,83.71208288902444,95.24589156793063,a
1,-0.151639,-0.037899,-0.987709,0.00357836,0.374862,0.927074,-0.15788,0.343944,0.925622,-0.300215,0.299811,0.90553,-0.349322,-0.350687,0.868903,73.83536443480037,79.61966693613581,83.9664482782909,95.24460176088512,a
1,-0.332931,0.146754,-0.931461,0.239428,0.188143,0.95251,0.0789453,0.16738,0.982727,-0.072997,0.135297,0.988112,-0.182678,-0.496956,0.84833,73.77159507574713,79.4372162922041,83.73940748231982,95.21351955053441,a
1,-0.15707,0.0059736,-0.987569,0.0250617,0.329394,0.94386,-0.13635,0.297446,0.944952,-0.285241,0.265489,0.920952,-0.355249,-0.375788,0.85591,73.94054347688,79.81569712438338,83.94382467993938,95.2261353173615,a
1,-0.453092,0.0317311,-0.890899,0.322398,0.310767,0.894138,0.158292,0.281933,0.946286,0.0122196,0.250819,0.967957,-0.0783729,-0.400056,0.913133,73.69731086449762,79.46620469962252,83.62701159800214,95.16845278672969,a
1,-0.389563,0.074986,-0.917942,0.281001,0.271719,0.920438,0.113033,0.247938,0.962159,-0.0370442,0.216599,0.975558,-0.14299,-0.426986,0.892881,74.00432068752202,79.78192248927573,84.01768613990092,95.33948241741194,a
1,-0.507573,0.192218,-0.839894,0.476077,0.132543,0.869358,0.320813,0.113533,0.940313,0.174469,0.0903997,0.980504,-0.00461553,-0.532764,0.846251,73.60212532182749,79.4126765012992,83.74146211778786,95.28942841270484,a
1,-0.237646,0.475359,-0.847088,0.220923,-0.207347,0.952995,0.0793428,-0.224083,0.971335,-0.0843303,-0.256282,0.962916,-0.238338,-0.759258,0.605576,72.79711884284983,78.56934191408567,83.34611726493323,94.9068227227632,a
1,-0.323311,0.252643,-0.911944,0.13671,-0.02752,0.990229,0.00185272,-0.0596903,0.998215,-0.169906,-0.0984403,0.980531,-0.276324,-0.624845,0.730215,69.53476470579301,75.82318081023837,81.0855475826611,92.92884192181671,a
